Area name, Code,"Agriculture, forestry & fishing",Production,Construction,Motor trades,Wholesale,Retail,Transport & Storage (inc postal),Accommodation & food services,Information & communication,Finance & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services",Total
West Lindsey,E07000142,640,260,485,155,140,315,270,210,100,55,120,475,250,75,125,220,210,"4,105"
Corby,E07000150,20,245,185,115,115,240,305,120,95,30,50,250,180,10,55,150,140,"2,305"
Daventry,E07000151,475,325,450,165,260,305,280,190,260,65,155,855,380,55,135,165,295,"4,815"
East Northamptonshire,E07000152,280,240,525,140,200,285,290,215,175,70,120,625,325,40,115,205,255,"4,105"
Kettering,E07000153,160,295,535,160,190,420,290,250,220,70,125,480,325,35,100,240,255,"4,150"
Northampton,E07000154,20,500,975,300,475,895,"1,405",535,590,240,305,"1,375",815,60,230,625,615,"9,960"
South Northamptonshire,E07000155,505,305,650,175,220,275,180,250,400,85,170,"1,075",480,55,170,190,335,"5,520"
Wellingborough,E07000156,100,305,410,150,200,310,295,170,175,55,95,425,315,25,100,170,215,"3,515"
Ashfield,E07000170,60,350,470,175,180,435,160,210,130,55,75,285,235,50,95,230,220,"3,415"
Bassetlaw,E07000171,390,375,510,185,225,480,230,290,155,80,115,510,280,65,120,275,280,"4,565"
Broxtowe,E07000172,45,245,485,115,160,410,135,220,245,65,135,530,265,45,100,250,265,"3,715"
Gedling,E07000173,85,230,600,150,145,410,130,200,185,80,140,495,270,40,105,240,260,"3,765"
Mansfield,E07000174,35,235,435,170,150,425,130,210,115,65,90,310,245,55,95,290,235,"3,290"
Newark and Sherwood,E07000175,465,390,590,180,245,535,215,330,210,90,180,705,355,75,135,300,325,"5,325"
Rushcliffe,E07000176,290,245,525,135,220,415,125,250,380,130,220,995,405,80,145,335,320,"5,215"
Cannock Chase,E07000192,20,360,645,180,245,445,225,240,155,50,110,405,255,20,80,205,240,"3,880"
East Staffordshire,E07000193,485,355,545,175,260,540,305,325,240,100,165,665,385,40,135,275,300,"5,295"
Lichfield,E07000194,275,375,610,175,265,415,180,275,270,105,225,860,410,30,135,245,360,"5,210"
Newcastle-under-Lyme,E07000195,185,260,470,160,215,475,180,280,185,75,105,490,300,25,115,280,320,"4,120"
South Staffordshire,E07000196,280,330,695,135,225,355,175,235,185,90,165,640,300,45,120,215,320,"4,510"
Stafford,E07000197,655,345,590,195,285,590,200,330,325,95,190,760,455,95,155,355,385,"6,005"
Staffordshire Moorlands,E07000198,925,325,490,155,180,345,210,255,130,60,85,455,320,40,105,215,240,"4,535"
Tamworth,E07000199,5,250,300,110,145,300,180,155,120,65,85,305,195,25,70,150,185,"2,645"
North Warwickshire,E07000218,195,270,375,125,140,255,245,200,135,50,100,345,270,30,70,125,175,"3,105"
Nuneaton and Bedworth,E07000219,45,350,395,195,190,485,345,220,205,85,95,535,325,35,100,300,270,"4,175"
Rugby,E07000220,295,280,430,170,215,405,605,295,300,65,150,820,400,40,140,195,280,"5,085"
Stratford-on-Avon,E07000221,805,480,775,290,380,715,185,505,485,175,355,"1,630",670,75,215,290,570,"8,600"
Warwick,E07000222,195,420,620,200,380,755,180,470,710,175,325,"2,065",665,100,215,400,535,"8,410"
Bromsgrove,E07000234,205,270,650,200,215,380,110,245,330,130,245,780,455,35,125,295,300,"4,970"
Malvern Hills,E07000235,665,320,400,130,215,335,95,250,260,70,175,680,305,50,105,200,265,"4,520"
Redditch,E07000236,30,395,355,140,190,295,120,145,200,55,85,410,260,25,85,160,160,"3,110"
Worcester,E07000237,15,205,290,125,185,525,130,290,210,85,145,565,320,45,110,240,295,"3,780"
Wychavon,E07000238,775,465,740,235,360,575,225,355,340,125,255,"1,000",560,70,170,270,400,"6,920"
Wyre Forest,E07000239,165,290,470,180,240,440,140,270,155,75,110,485,305,35,95,200,275,"3,930"
Birmingham,E08000025,60,"2,455","2,815","1,115","2,040","4,850","1,490","2,335","2,115",970,"1,450","5,230","3,060",230,"1,080","3,090","2,335","36,720"
Coventry,E08000026,40,740,855,395,465,"1,240",585,670,895,250,330,"1,665",835,80,280,745,705,"10,775"
Dudley,E08000027,30,"1,165","1,360",485,730,"1,335",500,630,465,230,270,"1,290",835,55,265,655,725,"11,025"
Sandwell,E08000028,10,"1,100",810,425,700,"1,205",760,635,305,185,275,735,710,50,230,680,600,"9,415"
Solihull,E08000029,115,325,"1,030",170,375,885,295,440,780,285,410,"1,760",835,55,210,595,600,"9,165"
Walsall,E08000030,40,925,985,330,475,"1,055",530,530,305,130,250,805,620,35,220,605,590,"8,430"
Wolverhampton,E08000031,15,745,750,310,460,"1,170",410,530,375,195,275,820,635,135,190,625,550,"8,190"
Cambridge,E07000008,105,200,330,90,180,725,85,540,780,130,205,"1,220",500,95,325,375,515,"6,400"
East Cambridgeshire,E07000009,475,280,595,160,180,285,185,180,260,60,140,605,350,45,90,145,290,"4,325"
Fenland,E07000010,440,300,565,180,190,375,230,240,130,65,95,335,290,45,75,195,220,"3,970"
Huntingdonshire,E07000011,530,610,"1,005",275,455,640,345,400,660,155,260,"1,290",750,120,170,400,520,"8,585"
South Cambridgeshire,E07000012,565,545,940,225,385,430,210,335,855,120,290,"1,775",725,90,220,410,470,"8,590"
Basildon,E07000066,40,525,"1,365",225,420,680,360,325,555,185,210,"1,150",640,35,180,420,410,"7,725"
Braintree,E07000067,425,520,"1,110",255,370,590,270,345,420,100,230,"1,070",570,75,175,295,485,"7,305"
Brentwood,E07000068,85,200,635,110,205,390,125,205,415,125,150,825,440,25,90,215,295,"4,535"
Castle Point,E07000069,15,220,755,110,110,330,160,165,200,70,95,450,245,10,70,150,195,"3,350"
Chelmsford,E07000070,250,390,"1,145",290,355,705,250,430,700,235,330,"1,475",730,255,205,440,530,"8,715"
Colchester,E07000071,250,430,"1,035",265,340,820,220,440,530,195,290,"1,150",655,70,205,515,495,"7,905"
Epping Forest,E07000072,245,370,"1,330",180,370,630,240,355,495,160,400,"1,155",660,35,145,300,520,"7,590"
Harlow,E07000073,10,210,500,105,205,305,210,160,210,50,80,340,250,20,80,215,190,"3,140"
Maldon,E07000074,220,285,555,115,150,260,145,205,165,65,115,520,265,30,60,130,200,"3,485"
Rochford,E07000075,80,265,665,135,155,315,155,175,235,65,120,595,260,30,70,130,245,"3,695"
Tendring,E07000076,275,325,705,210,170,565,215,390,195,70,140,485,335,55,120,350,330,"4,935"
Uttlesford,E07000077,380,340,700,170,255,380,205,245,385,130,190,"1,000",465,50,135,205,325,"5,560"
Broxbourne,E07000095,40,230,830,170,260,380,220,250,265,100,145,520,365,10,85,170,235,"4,275"
Dacorum,E07000096,140,360,"1,025",205,355,635,255,420,"1,060",145,230,"1,615",715,40,215,360,570,"8,345"
Hertsmere,E07000098,40,255,810,145,430,510,210,310,715,185,390,"1,255",605,15,125,305,430,"6,735"
North Hertfordshire,E07000099,190,440,680,225,325,575,175,420,715,120,275,"1,380",520,35,180,320,445,"7,020"
Three Rivers,E07000102,45,230,675,110,265,340,125,230,585,110,220,"1,095",415,15,105,235,325,"5,125"
Watford,E07000103,5,210,495,135,290,575,160,295,635,120,155,865,455,15,110,260,305,"5,085"
St Albans,E07000240,80,300,750,155,370,695,165,450,"1,145",205,330,"2,365",775,35,230,560,565,"9,175"
Welwyn Hatfield,E07000241,45,275,580,165,255,440,215,280,590,95,210,970,455,35,125,300,320,"5,355"
East Hertfordshire,E07000242,245,455,"1,040",230,390,620,225,490,705,190,340,"1,650",800,60,225,325,515,"8,505"
Stevenage,E07000243,5,160,470,100,135,325,120,220,300,205,130,475,270,25,85,190,190,"3,405"
Breckland,E07000143,795,475,615,220,285,515,240,300,165,95,140,625,390,95,150,295,355,"5,755"
Broadland,E07000144,385,360,790,195,255,395,135,245,245,100,165,695,360,75,130,280,300,"5,110"
Great Yarmouth,E07000145,130,255,355,115,150,450,120,425,80,45,85,535,320,50,60,240,270,"3,685"
King's Lynn and West Norfolk,E07000146,785,400,840,260,270,685,230,425,175,85,170,565,420,105,155,325,350,"6,245"
North Norfolk,E07000147,640,285,540,145,180,605,130,460,150,75,135,480,335,105,115,265,340,"4,985"
Norwich,E07000148,30,255,385,235,290,950,155,535,385,190,215,805,485,60,150,420,455,"6,000"
South Norfolk,E07000149,750,370,715,225,245,445,205,280,275,85,160,840,405,95,150,345,360,"5,950"
Babergh,E07000200,440,330,535,140,225,380,125,245,215,85,145,645,375,55,110,200,295,"4,545"
Forest Heath,E07000201,250,165,310,100,130,250,95,200,110,50,90,250,215,30,65,115,395,"2,820"
Ipswich,E07000202,15,190,535,185,190,625,260,355,345,155,185,555,450,45,115,430,375,"5,010"
Mid Suffolk,E07000203,800,360,645,200,230,330,200,200,220,80,145,695,450,95,125,250,320,"5,345"
St Edmundsbury,E07000204,380,385,590,225,250,525,200,295,215,110,250,685,480,90,115,275,340,"5,410"
Suffolk Coastal,E07000205,595,325,605,190,205,565,445,395,365,85,185,765,490,95,135,320,430,"6,195"
Waveney,E07000206,280,290,505,140,160,610,135,335,135,75,125,670,360,70,115,260,325,"4,590"
City of London,E09000001,20,440,565,10,525,695,240,"1,090","1,500","3,125",935,"6,975","2,490",55,155,255,810,"19,885"
Camden,E09000007,25,760,"1,200",145,"1,110","2,045",355,"1,875","3,695",740,"1,370","8,800","2,495",125,615,"1,130","2,615","29,100"
Hackney,E09000012,10,595,810,100,550,"1,285",195,945,"2,535",235,"1,065","3,765","1,230",35,305,730,"1,475","15,865"
Hammersmith and Fulham,E09000013,20,385,740,140,500,"1,430",210,825,"1,870",290,525,"3,330","1,335",110,250,685,"1,200","13,845"
Haringey,E09000014,10,460,935,165,590,"1,220",245,670,"1,460",140,530,"2,190",970,30,255,665,"1,260","11,795"
Islington,E09000019,15,530,820,85,595,"1,345",255,"1,195","3,010",495,690,"4,970","1,705",60,355,860,"1,645","18,630"
Kensington and Chelsea,E09000020,35,290,675,70,570,"1,900",165,"1,025","1,180",495,"1,115","3,270","1,475",25,260,680,"1,445","14,675"
Lambeth,E09000022,15,335,815,135,395,"1,110",235,"1,010","2,050",215,485,"4,555","5,210",90,335,915,"1,310","19,215"
Lewisham,E09000023,5,310,785,160,280,960,235,675,"1,355",150,255,"1,885",815,40,255,745,870,"9,780"
Newham,E09000025,5,345,"1,060",180,520,"1,465",375,630,"1,145",170,370,"1,420",910,55,275,705,570,"10,200"
Southwark,E09000028,15,420,800,110,540,"1,275",315,"1,085","2,285",410,550,"4,035","1,590",85,360,900,"1,475","16,250"
Tower Hamlets,E09000030,15,505,660,155,875,"1,350",440,"1,115","2,605",620,735,"3,665","1,570",70,415,775,"1,080","16,650"
Wandsworth,E09000032,35,460,"1,015",160,730,"1,515",275,940,"2,345",315,705,"4,745","1,680",65,355,915,"1,515","17,770"
Westminster,E09000033,85,"1,215","2,840",120,"1,865","4,350",600,"3,700","5,145","3,835","5,045","12,145","5,480",320,640,"1,830","4,550","53,765"
Barking and Dagenham,E09000002,5,335,925,200,365,600,370,380,500,75,120,665,620,235,155,605,345,"6,500"
Barnet,E09000003,30,620,"2,410",360,"1,260","1,970",410,990,"2,225",490,"1,940","4,520","2,015",70,495,"1,185","1,560","22,550"
Bexley,E09000004,10,435,"1,580",255,320,800,365,540,820,165,205,"1,265",695,30,200,565,535,"8,785"
Brent,E09000005,5,545,"1,610",375,"1,035","1,485",500,790,"1,675",245,635,"2,340","1,175",75,315,770,925,"14,500"
Bromley,E09000006,60,495,"2,005",265,510,"1,365",295,825,"1,720",350,470,"3,065","1,410",30,350,875,"1,115","15,205"
Croydon,E09000008,15,480,"1,720",375,630,"1,470",355,925,"1,705",330,470,"2,625","1,240",55,335,"1,130",955,"14,815"
Ealing,E09000009,10,685,"1,985",360,"1,115","1,720",655,950,"2,260",230,615,"3,030","1,460",25,335,890,"1,225","17,550"
Enfield,E09000010,30,515,"1,670",330,775,"1,300",425,710,"1,100",240,575,"1,985","1,155",30,270,870,900,"12,880"
Greenwich,E09000011,5,350,930,145,320,945,240,630,"1,170",140,240,"1,785",840,30,275,705,685,"9,435"
Harrow,E09000015,10,305,"1,475",265,780,"1,160",355,545,"1,890",290,795,"2,780",995,15,250,690,700,"13,300"
Havering,E09000016,35,465,"1,930",335,395,"1,025",460,550,655,205,250,"1,255",825,25,215,605,595,"9,825"
Hillingdon,E09000017,40,550,"1,575",375,705,"1,330",965,820,"1,555",245,435,"1,985","1,165",55,260,685,775,"13,520"
Hounslow,E09000018,20,365,"1,030",290,705,"1,130",760,680,"2,450",205,425,"2,385","1,250",40,240,700,930,"13,605"
Kingston upon Thames,E09000021,15,265,735,170,380,870,165,525,"1,235",150,325,"2,025",765,80,180,485,635,"9,005"
Merton,E09000024,15,355,"1,160",210,475,925,285,495,"1,425",195,390,"2,645","1,190",30,235,635,775,"11,440"
Redbridge,E09000026,5,365,"1,470",245,560,"1,205",335,595,"1,885",225,510,"2,335","1,020",45,320,855,735,"12,710"
Richmond upon Thames,E09000027,15,330,760,130,400,"1,065",170,670,"2,050",225,495,"3,920","1,155",25,325,640,"1,340","13,715"
Sutton,E09000029,30,305,"1,395",205,335,730,220,435,935,165,205,"1,390",740,25,170,545,575,"8,405"
Waltham Forest,E09000031,10,420,"1,335",215,585,"1,115",290,565,945,145,285,"1,600",885,25,235,630,685,"9,970"
Aylesbury Vale,E07000004,705,550,"1,080",315,450,695,295,400,900,165,325,"1,945",830,95,235,470,670,"10,125"
Chiltern,E07000005,130,240,660,135,245,475,115,225,725,145,235,"1,605",505,25,155,270,460,"6,350"
South Bucks,E07000006,70,200,525,125,215,350,145,245,560,130,435,"1,130",495,20,125,220,410,"5,400"
Wycombe,E07000007,205,540,"1,075",300,525,830,240,420,"1,160",175,310,"2,125",820,50,245,435,720,"10,175"
Eastbourne,E07000061,30,150,420,100,145,475,85,325,195,75,150,455,305,20,110,340,275,"3,655"
Hastings,E07000062,25,200,435,95,125,395,70,300,190,55,90,360,200,25,75,295,240,"3,175"
Lewes,E07000063,180,300,530,140,200,470,130,270,350,65,170,770,365,40,120,270,385,"4,755"
Rother,E07000064,410,225,545,135,170,425,100,320,260,60,150,665,390,35,105,265,330,"4,590"
Wealden,E07000065,715,490,"1,190",310,400,685,145,470,570,145,280,"1,470",700,60,205,410,615,"8,860"
Basingstoke and Deane,E07000084,295,405,900,235,335,600,250,345,"1,130",200,220,"1,680",750,60,240,380,520,"8,545"
East Hampshire,E07000085,315,405,810,195,305,505,145,270,630,110,240,"1,375",535,50,175,320,430,"6,815"
Eastleigh,E07000086,55,385,870,180,255,535,255,290,450,140,165,930,495,35,140,315,360,"5,855"
Fareham,E07000087,50,315,710,145,215,420,150,245,380,130,175,840,395,20,145,275,315,"4,925"
Gosport,E07000088,10,180,285,65,70,240,85,200,125,25,75,285,170,15,65,160,190,"2,245"
Hart,E07000089,105,220,550,160,180,305,105,230,760,90,165,"1,210",425,40,130,195,345,"5,215"
Havant,E07000090,35,315,795,145,150,480,110,260,315,105,135,685,355,20,125,290,310,"4,630"
New Forest,E07000091,390,535,"1,135",305,355,835,305,530,540,190,385,"1,385",650,65,235,455,610,"8,905"
Rushmoor,E07000092,10,215,470,140,140,375,130,245,390,85,115,635,370,20,105,180,230,"3,855"
Test Valley,E07000093,310,415,720,220,335,475,240,300,535,175,240,"1,140",480,40,165,295,425,"6,510"
Winchester,E07000094,460,335,725,185,260,950,135,355,665,165,310,"1,645",680,95,200,410,485,"8,060"
Ashford,E07000105,435,395,720,195,405,595,165,330,345,330,175,965,520,60,145,330,345,"6,455"
Canterbury,E07000106,180,280,715,210,240,755,140,515,300,115,215,905,475,50,180,430,450,"6,155"
Dartford,E07000107,30,255,695,160,230,570,235,270,310,80,100,590,385,20,105,240,230,"4,505"
Dover,E07000108,200,200,435,140,140,415,205,355,160,60,100,470,260,75,130,305,280,"3,930"
Gravesham,E07000109,45,210,655,115,135,335,230,240,210,60,115,480,350,25,85,210,225,"3,725"
Maidstone,E07000110,310,415,"1,215",270,385,685,300,435,455,175,245,"1,220",630,75,170,440,475,"7,900"
Sevenoaks,E07000111,210,405,910,195,385,495,170,335,575,180,265,"1,300",655,45,150,295,470,"7,040"
Shepway,E07000112,205,190,505,130,130,435,135,380,190,65,135,545,325,50,120,305,270,"4,115"
Swale,E07000113,225,375,830,185,215,465,265,395,235,80,150,645,400,50,120,305,320,"5,260"
Thanet,E07000114,75,260,575,135,145,575,130,470,170,80,145,440,325,25,120,340,310,"4,320"
Tonbridge and Malling,E07000115,135,330,800,175,305,420,210,335,460,160,160,"1,120",555,45,145,295,350,"6,000"
Tunbridge Wells,E07000116,285,285,630,165,330,715,120,385,575,195,245,"1,475",635,35,170,320,465,"7,030"
Cherwell,E07000177,535,460,790,275,340,720,225,405,505,135,240,"1,240",670,85,195,350,480,"7,650"
Oxford,E07000178,20,150,365,100,160,760,110,585,580,130,195,"1,100",500,40,300,490,520,"6,105"
South Oxfordshire,E07000179,375,415,865,220,330,605,225,435,830,155,305,"1,910",785,80,225,345,620,"8,725"
Vale of White Horse,E07000180,325,350,725,165,250,425,150,325,505,85,200,"1,300",550,60,190,265,485,"6,355"
